,Prob_Regime0,Prob_Regime1,Prob_Regime2,Prob_Regime3,Prob_Regime4,Regime_Candidate,Regime,Regime_Name
2006-06-30,0.1074091293656579,0.036941086602867323,0.12664421160584055,0.021576140552183515,0.7074294318734508,4,4,Bull Market
2006-07-31,0.08592730385997566,0.029549031471498812,0.10131749427297983,0.01726199445578986,0.765944175939756,4,4,Bull Market
2006-08-31,0.06874184207345922,0.023639225173448023,0.31069960282476666,0.01382388394945541,0.5830954459788706,4,4,Bull Market
2006-09-30,0.054993475573945974,0.018911545680273742,0.117898478135827,0.011050627746266958,0.7971458728636863,4,4,Bull Market
2006-10-31,0.043994779346533036,0.01512914235680113,0.5582578852960256,0.008870540988356844,0.37374765201228344,2,4,Bull Market
2006-11-30,0.035195823477266845,0.01210331388577422,0.18264251339725987,0.007081376865396252,0.7629769723743028,4,4,Bull Market
2006-12-31,0.028156658784614194,0.009682651108454475,0.14896267906958013,0.005721968291531274,0.80747604274582,4,4,Bull Market
2007-01-31,0.02252532702609021,0.00774612566057612,0.11755268944872353,0.004544579765350102,0.8476312780992601,4,4,Bull Market
2007-02-28,0.018020265616993995,0.34279401736781445,0.09403996354004002,0.0036357866991760237,0.5415099667759756,4,4,Bull Market
2007-03-31,0.014416210285666278,0.08272305966482153,0.1582405095311073,0.002912375163083481,0.7417078453553214,4,4,Bull Market
2007-04-30,0.011532968191136953,0.06617844773161757,0.5433450552602358,0.0023460817789305306,0.37659744703807924,2,4,Bull Market
2007-05-31,0.009226374555138065,0.05294275818529403,0.6346840819777502,0.0018686784338771253,0.30127810684794054,2,2,Steady State
2007-06-30,0.007381289713586391,0.21216022032413936,0.24374863467280009,0.0015991475594347015,0.5351107077300394,4,2,Steady State
2007-07-31,0.005918526543222122,0.5371007943235449,0.19499890773807674,0.001219309491398587,0.2607624619037577,1,2,Steady State
2007-08-31,0.023006511127159488,0.17548961590060003,0.1559991261904615,0.000976018550658584,0.6445287282311204,4,2,Steady State
2007-09-30,0.008004843851258686,0.13481512871601653,0.12588098187717803,0.4636988037477943,0.2676002418077524,3,2,Steady State
2007-10-31,0.006403875081781217,0.10785210297281322,0.5640819015585906,0.10758192728342096,0.2140801931033939,2,2,Steady State
2007-11-30,0.46912298211368264,0.08628180032952706,0.18726975707923751,0.08606130636185295,0.17126415411569984,0,0,Crisis
2007-12-31,0.11129858522460857,0.07798998251012408,0.14981592075571382,0.06884904509273175,0.5920464664168218,4,4,Bull Market
